actor_update_margin_threshold,actor_update_support_mode,actor_update_topk,advantage_mean,behavior_temperature,checkpoint_path,checkpoint_sha256,clip_eps,config_key,config_key_label,config_path,count,delta_clip,delta_clip_coef,delta_l2_coef,delta_support_margin_threshold,delta_support_mode,delta_support_topk,entropy_coef,iteration,low_rank_flip_penalty_coef,low_rank_flip_topk,lr,negative_advantage_count,opponent_mode,outside_support_delta_mode,pilot_config_id,positive_advantage_count,ratio_mode,rerun_config_id,return_mean,rule_kl_coef,rule_score_scale,rule_score_scale_version,selected_prior_rank,source_config_id,support_policy_mode,teacher_confidence_gate,teacher_contract_version,teacher_entropy_max,teacher_margin_min,teacher_prior_agree_min,teacher_source,teacher_target_type,teacher_temperature,teacher_topk,teacher_version,terminal_reward_mean,topk_ranking_aux_coef,topk_ranking_aux_mode,topk_ranking_k,update_epochs,weak_margin_flip_penalty_coef,weak_margin_threshold,zero_advantage_count
0.75,all,3,-0.010827566186587015,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,66,0.0,0.0,0.0,0.75,topk,3,0.01,0,0.0,3,0.003,31,rulebase,zero,1,35,tempered_current_logits,0,-0.27146208015355194,0.001,0.25,keqingrl_rule_score_scale_v1,2,93,support-only-topk,True,keqingrl_topk_teacher_v1,0.8,0.1,0.0,rule-component-v1,topk_distribution,1.0,3,action_feature_component_reranker_v1,-0.21212121212121213,0.03,teacher-ce,3,8,0.0,0.75,0
0.75,all,3,-0.014435457641428168,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,55,0.0,0.0,0.0,0.75,topk,3,0.01,0,0.0,3,0.003,25,rulebase,zero,1,30,tempered_current_logits,0,-0.2352304003455422,0.001,0.25,keqingrl_rule_score_scale_v1,3,93,support-only-topk,True,keqingrl_topk_teacher_v1,0.8,0.1,0.0,rule-component-v1,topk_distribution,1.0,3,action_feature_component_reranker_v1,-0.18181818181818182,0.03,teacher-ce,3,8,0.0,0.75,0
0.75,all,3,1.9877122771489408,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,113,0.0,0.0,0.0,0.75,topk,3,0.01,1,0.0,3,0.003,17,rulebase,zero,1,96,tempered_current_logits,0,-0.663505251956197,0.001,0.25,keqingrl_rule_score_scale_v1,1,93,support-only-topk,True,keqingrl_topk_teacher_v1,0.8,0.1,0.0,rule-component-v1,topk_distribution,1.0,3,action_feature_component_reranker_v1,0.504424778761062,0.03,teacher-ce,3,8,0.0,0.75,0
0.75,all,3,2.210220284206239,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,74,0.0,0.0,0.0,0.75,topk,3,0.01,1,0.0,3,0.003,4,rulebase,zero,1,70,tempered_current_logits,0,-0.6238296660217079,0.001,0.25,keqingrl_rule_score_scale_v1,2,93,support-only-topk,True,keqingrl_topk_teacher_v1,0.8,0.1,0.0,rule-component-v1,topk_distribution,1.0,3,action_feature_component_reranker_v1,0.44594594594594594,0.03,teacher-ce,3,8,0.0,0.75,0
0.75,all,3,2.0056308898748014,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,57,0.0,0.0,0.0,0.75,topk,3,0.01,1,0.0,3,0.003,7,rulebase,zero,1,50,tempered_current_logits,0,-0.6043439601597033,0.001,0.25,keqingrl_rule_score_scale_v1,3,93,support-only-topk,True,keqingrl_topk_teacher_v1,0.8,0.1,0.0,rule-component-v1,topk_distribution,1.0,3,action_feature_component_reranker_v1,0.45614035087719296,0.03,teacher-ce,3,8,0.0,0.75,0
0.75,all,3,2.038618845424869,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,110,0.0,0.0,0.0,0.75,topk,3,0.01,2,0.0,3,0.003,15,rulebase,zero,1,95,tempered_current_logits,0,-1.3621430505405774,0.001,0.25,keqingrl_rule_score_scale_v1,1,93,support-only-topk,True,keqingrl_topk_teacher_v1,0.8,0.1,0.0,rule-component-v1,topk_distribution,1.0,3,action_feature_component_reranker_v1,-0.25,0.03,teacher-ce,3,8,0.0,0.75,0
0.75,all,3,2.100672713170449,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,54,0.0,0.0,0.0,0.75,topk,3,0.01,2,0.0,3,0.003,7,rulebase,zero,1,47,tempered_current_logits,0,-1.1968197226524353,0.001,0.25,keqingrl_rule_score_scale_v1,2,93,support-only-topk,True,keqingrl_topk_teacher_v1,0.8,0.1,0.0,rule-component-v1,topk_distribution,1.0,3,action_feature_component_reranker_v1,0.06481481481481481,0.03,teacher-ce,3,8,0.0,0.75,0
0.75,all,3,2.2412777084677495,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,57,0.0,0.0,0.0,0.75,topk,3,0.01,2,0.0,3,0.003,9,rulebase,zero,1,48,tempered_current_logits,0,-1.0874722317645424,0.001,0.25,keqingrl_rule_score_scale_v1,3,93,support-only-topk,True,keqingrl_topk_teacher_v1,0.8,0.1,0.0,rule-component-v1,topk_distribution,1.0,3,action_feature_component_reranker_v1,0.06140350877192982,0.03,teacher-ce,3,8,0.0,0.75,0
0.75,all,3,-0.3061939556432027,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,93,0.0,0.0,0.0,0.75,topk,3,0.01,0,0.0,3,0.003,57,rulebase,zero,2,36,tempered_current_logits,0,-0.544195873602744,0.001,0.25,keqingrl_rule_score_scale_v1,1,93,support-only-topk,True,keqingrl_topk_teacher_v1,0.8,0.2,0.0,rule-component-v1,topk_distribution,1.0,3,action_feature_component_reranker_v1,-0.6129032258064516,0.03,teacher-ce,3,8,0.0,0.75,0
0.75,all,3,-0.30913598369807005,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,64,0.0,0.0,0.0,0.75,topk,3,0.01,0,0.0,3,0.003,41,rulebase,zero,2,23,tempered_current_logits,0,-0.563054770231247,0.001,0.25,keqingrl_rule_score_scale_v1,2,93,support-only-topk,True,keqingrl_topk_teacher_v1,0.8,0.2,0.0,rule-component-v1,topk_distribution,1.0,3,action_feature_component_reranker_v1,-0.6875,0.03,teacher-ce,3,8,0.0,0.75,0
