actor_update_margin_threshold,actor_update_support_mode,actor_update_topk,advantage_mean,behavior_temperature,checkpoint_path,checkpoint_sha256,clip_eps,config_key,config_key_label,config_path,count,delta_clip,delta_clip_coef,delta_l2_coef,delta_support_margin_threshold,delta_support_mode,delta_support_topk,entropy_coef,iteration,low_rank_flip_penalty_coef,low_rank_flip_topk,lr,negative_advantage_count,opponent_mode,outside_support_delta_mode,pilot_config_id,positive_advantage_count,ratio_mode,rerun_config_id,return_mean,rule_kl_coef,rule_score_scale,rule_score_scale_version,selected_prior_rank,source_config_id,support_policy_mode,terminal_reward_mean,update_epochs,weak_margin_flip_penalty_coef,weak_margin_threshold,zero_advantage_count
0.75,all,3,0.9813542403280735,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,16,0.0,0.0,0.0,0.75,all,3,0.01,1,0.0,3,0.003,3,rulebase,zero,0,13,tempered_current_logits,0,0.1821235679090023,0.001,0.25,keqingrl_rule_score_scale_v1,7,93,unrestricted,0.46875,8,0.0,0.75,0
0.75,all,3,0.3112194687128067,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,17,0.0,0.0,0.0,0.75,all,3,0.01,1,0.0,3,0.003,9,rulebase,zero,0,8,tempered_current_logits,0,-0.5370606850175297,0.001,0.25,keqingrl_rule_score_scale_v1,8,93,unrestricted,-0.35294117647058826,8,0.0,0.75,0
0.75,all,3,0.142780335744222,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,15,0.0,0.0,0.0,0.75,all,3,0.01,1,0.0,3,0.003,7,rulebase,zero,0,8,tempered_current_logits,0,-0.5383235474427541,0.001,0.25,keqingrl_rule_score_scale_v1,9,93,unrestricted,-0.26666666666666666,8,0.0,0.75,0
0.75,all,3,0.550772198372417,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,18,0.0,0.0,0.0,0.75,all,3,0.01,1,0.0,3,0.003,5,rulebase,zero,0,13,tempered_current_logits,0,-0.18488583796554142,0.001,0.25,keqingrl_rule_score_scale_v1,10,93,unrestricted,0.25,8,0.0,0.75,0
0.75,all,3,0.33230316499248147,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,16,0.0,0.0,0.0,0.75,all,3,0.01,1,0.0,3,0.003,7,rulebase,zero,0,9,tempered_current_logits,0,-0.3057663468644023,0.001,0.25,keqingrl_rule_score_scale_v1,11,93,unrestricted,-0.15625,8,0.0,0.75,0
0.75,all,3,-0.26461788921733387,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,8,0.0,0.0,0.0,0.75,all,3,0.01,1,0.0,3,0.003,7,rulebase,zero,0,1,tempered_current_logits,0,-0.876250084489584,0.001,0.25,keqingrl_rule_score_scale_v1,12,93,unrestricted,-0.875,8,0.0,0.75,0
0.75,all,3,-0.6141622041662534,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,6,0.0,0.0,0.0,0.75,all,3,0.01,1,0.0,3,0.003,5,rulebase,zero,0,1,tempered_current_logits,0,-1.035847393174966,0.001,0.25,keqingrl_rule_score_scale_v1,13,93,unrestricted,-1.0833333333333333,8,0.0,0.75,0
0.75,all,3,-0.5890220999717712,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,1,0.0,0.0,0.0,0.75,all,3,0.01,1,0.0,3,0.003,1,rulebase,zero,0,0,tempered_current_logits,0,-1.2875585556030273,0.001,0.25,keqingrl_rule_score_scale_v1,14,93,unrestricted,-1.5,8,0.0,0.75,0
0.75,all,3,0.2738180938487252,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,30,0.0,0.0,0.0,0.75,all,3,0.01,2,0.0,3,0.003,6,rulebase,zero,0,24,tempered_current_logits,0,0.3119311049580574,0.001,0.25,keqingrl_rule_score_scale_v1,1,93,unrestricted,0.43333333333333335,8,0.0,0.75,0
0.75,all,3,0.3280712586234916,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,22,0.0,0.0,0.0,0.75,all,3,0.01,2,0.0,3,0.003,2,rulebase,zero,0,20,tempered_current_logits,0,0.372352734208107,0.001,0.25,keqingrl_rule_score_scale_v1,2,93,unrestricted,0.5909090909090909,8,0.0,0.75,0
0.75,all,3,0.21705856086576686,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,17,0.0,0.0,0.0,0.75,all,3,0.01,2,0.0,3,0.003,3,rulebase,zero,0,14,tempered_current_logits,0,0.27649737982188954,0.001,0.25,keqingrl_rule_score_scale_v1,3,93,unrestricted,0.4411764705882353,8,0.0,0.75,0
0.75,all,3,0.43814081450303394,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,18,0.0,0.0,0.0,0.75,all,3,0.01,2,0.0,3,0.003,2,rulebase,zero,0,16,tempered_current_logits,0,0.4257500006092919,0.001,0.25,keqingrl_rule_score_scale_v1,4,93,unrestricted,0.6388888888888888,8,0.0,0.75,0
0.75,all,3,0.425207215704416,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,19,0.0,0.0,0.0,0.75,all,3,0.01,2,0.0,3,0.003,2,rulebase,zero,0,17,tempered_current_logits,0,0.41508356364149795,0.001,0.25,keqingrl_rule_score_scale_v1,5,93,unrestricted,0.6842105263157895,8,0.0,0.75,0
