actor_update_margin_threshold,actor_update_support_mode,actor_update_topk,advantage_mean,behavior_temperature,checkpoint_path,checkpoint_sha256,clip_eps,config_key,config_key_label,config_path,count,delta_clip,delta_clip_coef,delta_l2_coef,delta_support_margin_threshold,delta_support_mode,delta_support_topk,entropy_coef,iteration,low_rank_flip_penalty_coef,low_rank_flip_topk,lr,negative_advantage_count,opponent_mode,outside_support_delta_mode,pilot_config_id,positive_advantage_count,ratio_mode,rerun_config_id,return_mean,rule_kl_coef,rule_score_scale,rule_score_scale_version,selected_prior_rank,source_config_id,support_policy_mode,teacher_source,teacher_temperature,terminal_reward_mean,topk_ranking_aux_coef,topk_ranking_aux_mode,topk_ranking_k,update_epochs,weak_margin_flip_penalty_coef,weak_margin_threshold,zero_advantage_count
0.75,all,3,0.3700611188455864,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,54,0.0,0.0,0.0,0.75,topk,3,0.01,0,0.0,3,0.003,11,rulebase,zero,2,43,tempered_current_logits,0,0.10695715703898007,0.001,0.25,keqingrl_rule_score_scale_v1,3,93,support-only-topk,rule-components,1.0,0.3333333333333333,0.05,teacher-ce,3,8,0.0,0.75,0
0.75,all,3,0.17167607561135903,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,117,0.0,0.0,0.0,0.75,topk,3,0.01,1,0.0,3,0.003,50,rulebase,zero,2,67,tempered_current_logits,0,-0.3038998839692173,0.001,0.25,keqingrl_rule_score_scale_v1,1,93,support-only-topk,rule-components,1.0,-0.16666666666666666,0.05,teacher-ce,3,8,0.0,0.75,0
0.75,all,3,0.012302746049693374,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,61,0.0,0.0,0.0,0.75,topk,3,0.01,1,0.0,3,0.003,33,rulebase,zero,2,28,tempered_current_logits,0,-0.4579007774591446,0.001,0.25,keqingrl_rule_score_scale_v1,2,93,support-only-topk,rule-components,1.0,-0.4098360655737705,0.05,teacher-ce,3,8,0.0,0.75,0
0.75,all,3,0.15012226927848088,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,63,0.0,0.0,0.0,0.75,topk,3,0.01,1,0.0,3,0.003,29,rulebase,zero,2,34,tempered_current_logits,0,-0.33521568396734813,0.001,0.25,keqingrl_rule_score_scale_v1,3,93,support-only-topk,rule-components,1.0,-0.2222222222222222,0.05,teacher-ce,3,8,0.0,0.75,0
0.75,all,3,0.7746772283816857,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,114,0.0,0.0,0.0,0.75,topk,3,0.01,2,0.0,3,0.003,34,rulebase,zero,2,80,tempered_current_logits,0,-0.534498934421623,0.001,0.25,keqingrl_rule_score_scale_v1,1,93,support-only-topk,rule-components,1.0,-0.10964912280701754,0.05,teacher-ce,3,8,0.0,0.75,0
0.75,all,3,0.7252681485961302,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,59,0.0,0.0,0.0,0.75,topk,3,0.01,2,0.0,3,0.003,17,rulebase,zero,2,42,tempered_current_logits,0,-0.6144537562030857,0.001,0.25,keqingrl_rule_score_scale_v1,2,93,support-only-topk,rule-components,1.0,-0.2457627118644068,0.05,teacher-ce,3,8,0.0,0.75,0
0.75,all,3,0.9113741389547403,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,52,0.0,0.0,0.0,0.75,topk,3,0.01,2,0.0,3,0.003,11,rulebase,zero,2,41,tempered_current_logits,0,-0.386118077314817,0.001,0.25,keqingrl_rule_score_scale_v1,3,93,support-only-topk,rule-components,1.0,0.10576923076923077,0.05,teacher-ce,3,8,0.0,0.75,0
0.75,all,3,0.031934525817632675,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,108,0.0,0.0,0.0,0.75,topk,3,0.01,0,0.0,3,0.003,42,rulebase,zero,3,66,tempered_current_logits,0,-0.2287183645422812,0.001,0.25,keqingrl_rule_score_scale_v1,1,93,support-only-topk,rule-components,1.0,-0.10648148148148148,0.1,teacher-ce,3,8,0.0,0.75,0
0.75,all,3,-0.02830546779531828,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,71,0.0,0.0,0.0,0.75,topk,3,0.01,0,0.0,3,0.003,34,rulebase,zero,3,37,tempered_current_logits,0,-0.29698178455443447,0.001,0.25,keqingrl_rule_score_scale_v1,2,93,support-only-topk,rule-components,1.0,-0.23943661971830985,0.1,teacher-ce,3,8,0.0,0.75,0
0.75,all,3,-0.010967837530188262,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,64,0.0,0.0,0.0,0.75,topk,3,0.01,0,0.0,3,0.003,30,rulebase,zero,3,34,tempered_current_logits,0,-0.2742472119862214,0.001,0.25,keqingrl_rule_score_scale_v1,3,93,support-only-topk,rule-components,1.0,-0.265625,0.1,teacher-ce,3,8,0.0,0.75,0
