config_id,iteration,seed,rule_kl_coef,entropy_coef,lr,approx_kl,clip_fraction,entropy,rule_kl,rule_agreement,neural_delta_abs_mean,neural_delta_abs_max,top1_action_changed_rate,rank_pt,fourth_rate,deal_in_rate,batch_size,episode_count,illegal_action_rate,fallback_rate,forced_terminal_missed
21,0,22360425,0.001,0.01,3e-05,0.0,0.0,1.326186180114746,2.1905892211293576e-08,1.0,1.1774879567383323e-05,3.987302625318989e-05,0.0,-0.5,0.5,0.0,23,2,0.0,0.0,0
21,1,22370425,0.001,0.01,3e-05,2.6434028035059176e-13,0.0,1.5290429592132568,-2.162365220215179e-08,1.0,2.61103778029792e-05,7.607806765008718e-05,0.0,-0.25,0.5,0.0,29,2,0.0,0.0,0
21,2,22380425,0.001,0.01,3e-05,1.6211158934339998e-12,0.0,1.4841883182525635,-3.353462929567286e-08,1.0,3.057156573049724e-05,9.399563714396209e-05,0.0,-0.25,0.5,0.0,35,2,0.0,0.0,0
22,0,22460425,0.001,0.01,0.0001,0.0,0.0,1.3930914402008057,2.6707462907893387e-09,1.0,0.00025290652411058545,0.0003791841445490718,0.0,-0.25,0.5,0.0,30,2,0.0,0.0,0
22,1,22470425,0.001,0.01,0.0001,5.833375015668052e-12,0.0,1.4959702491760254,-2.087116079962925e-08,1.0,0.00043614779133349657,0.0006168902618810534,0.0,0.75,0.0,0.0,27,2,0.0,0.0,0
22,2,22480425,0.001,0.01,0.0001,5.281700857923122e-12,0.0,1.4737486839294434,-2.3971566065483785e-08,1.0,0.00047125539276748896,0.0005930962506681681,0.0,-1.5,1.0,0.0,33,2,0.0,0.0,0
23,0,22560425,0.001,0.01,0.0003,0.0,0.0,1.455312728881836,6.994224310830077e-09,1.0,0.000691340072080493,0.0012889563804492354,0.0,-1.5,1.0,0.0,26,2,0.0,0.0,0
23,1,22570425,0.001,0.01,0.0003,3.380624391535747e-10,0.0,1.3254531621932983,1.156337248175987e-08,1.0,0.001257111318409443,0.002251738915219903,0.0,1.0,0.0,0.0,36,2,0.0,0.0,0
23,2,22580425,0.001,0.01,0.0003,9.888899699106446e-10,0.0,1.4600143432617188,-3.702336659472394e-09,1.0,0.001568643725477159,0.003078668611124158,0.0,-0.5,0.5,0.0,31,2,0.0,0.0,0
24,0,22660425,0.01,0.0,3e-05,0.0,0.0,1.4923816919326782,2.1228339086576398e-09,1.0,3.909338192897849e-05,7.320485019590706e-05,0.0,0.75,0.0,0.0,31,2,0.0,0.0,0
24,1,22670425,0.01,0.0,3e-05,1.1530170264742456e-13,0.0,1.4136780500411987,-1.2517485714624854e-08,1.0,3.8573773053940386e-05,0.00010596976790111512,0.0,-0.25,0.5,0.0,33,2,0.0,0.0,0
24,2,22680425,0.01,0.0,3e-05,1.1470190032156213e-12,0.0,1.5243253707885742,-1.7459711898482055e-08,1.0,3.171806747559458e-05,0.00012863482697866857,0.0,0.75,0.0,0.0,35,2,0.0,0.0,0
25,0,22760425,0.01,0.0,0.0001,0.0,0.0,1.3432295322418213,-1.1649571085570187e-08,1.0,9.945066994987428e-05,0.00016852861153893173,0.0,-0.5,0.5,0.0,31,2,0.0,0.0,0
25,1,22770425,0.01,0.0,0.0001,3.592470288263372e-13,0.0,1.4635480642318726,-1.9333247891495375e-08,1.0,0.00012758199591189623,0.0002483523858245462,0.0,-1.5,1.0,0.0,21,2,0.0,0.0,0
25,2,22780425,0.01,0.0,0.0001,4.953679393765453e-12,0.0,1.5337144136428833,-1.7970535282074707e-08,1.0,0.00013684666191693395,0.0002712426648940891,0.0,1.0,0.0,0.0,36,2,0.0,0.0,0
26,0,22860425,0.01,0.0,0.0003,0.0,0.0,1.431418538093567,-7.486606889983705e-09,1.0,0.0009767820592969656,0.0013013335410505533,0.0,1.0,0.0,0.0,36,2,0.0,0.0,0
26,1,22870425,0.01,0.0,0.0003,8.835904924398008e-11,0.0,1.5266040563583374,-1.901581470065139e-08,1.0,0.0014230041997507215,0.0019961141515523195,0.0,-0.5,0.5,0.0,28,2,0.0,0.0,0
26,2,22880425,0.01,0.0,0.0003,1.133148991305788e-10,0.0,1.526048183441162,-7.424461045957287e-09,1.0,0.001618867856450379,0.002211514860391617,0.0,0.75,0.0,0.0,36,2,0.0,0.0,0
27,0,22960425,0.01,0.001,3e-05,0.0,0.0,1.52281653881073,-2.6189498569806346e-08,1.0,3.078454756177962e-05,5.7022058172151446e-05,0.0,-1.5,1.0,0.0,19,2,0.0,0.0,0
27,1,22970425,0.01,0.001,3e-05,8.188878177980974e-13,0.0,1.4899623394012451,-3.440537810206479e-08,1.0,3.9900078263599426e-05,8.058467210503295e-05,0.0,-0.25,0.5,0.0,35,2,0.0,0.0,0
27,2,22980425,0.01,0.001,3e-05,1.8094118868147713e-12,0.0,1.3990898132324219,-1.612130873240858e-08,1.0,4.080784856341779e-05,9.665190009400249e-05,0.0,-0.5,0.5,0.0,30,2,0.0,0.0,0
28,0,23060425,0.01,0.001,0.0001,0.0,0.0,1.3713808059692383,1.7675267471872758e-08,1.0,0.0002535332750994712,0.0004164774436503649,0.0,0.5,0.0,0.0,31,2,0.0,0.0,0
28,1,23070425,0.01,0.001,0.0001,1.4374562304353411e-11,0.0,1.5679049491882324,-3.343237509056962e-08,1.0,0.0003092869301326573,0.0006009830394759774,0.0,-1.5,1.0,0.0,22,2,0.0,0.0,0
28,2,23080425,0.01,0.001,0.0001,6.172201638676711e-11,0.0,1.482274055480957,4.102298944985705e-09,1.0,0.00037142966175451875,0.0007385070202872157,0.0,-1.5,1.0,0.0,27,2,0.0,0.0,0
29,0,23160425,0.01,0.001,0.0003,0.0,0.0,1.3819102048873901,2.732301496166656e-08,1.0,0.00042818597285076976,0.0007714414387010038,0.0,1.0,0.0,0.0,36,2,0.0,0.0,0
29,1,23170425,0.01,0.001,0.0003,5.056632890187984e-11,0.0,1.3112092018127441,2.6468569558346644e-08,1.0,0.0006790796760469675,0.001048381207510829,0.0,-0.25,0.5,0.0,36,2,0.0,0.0,0
29,2,23180425,0.01,0.001,0.0003,8.898258518907909e-11,0.0,1.4685771465301514,-6.864127044536872e-10,1.0,0.0008258278830908239,0.0014810439897701144,0.0,-1.5,1.0,0.0,28,2,0.0,0.0,0
30,0,23260425,0.01,0.005,3e-05,0.0,0.0,1.4939420223236084,-3.4877860599635824e-08,1.0,2.087739994749427e-05,4.110582449357025e-05,0.0,-0.25,0.5,0.0,35,2,0.0,0.0,0
30,1,23270425,0.01,0.005,3e-05,6.926403894880195e-14,0.0,1.323593020439148,2.956230105155555e-08,1.0,1.3682833923667204e-05,4.3273994378978387e-05,0.0,0.75,0.0,0.0,32,2,0.0,0.0,0
30,2,23280425,0.01,0.005,3e-05,4.1267401822142613e-13,0.0,1.4293664693832397,-2.0088547714181004e-08,1.0,2.3170534404926002e-05,7.01016397215426e-05,0.0,-0.25,0.5,0.0,27,2,0.0,0.0,0
31,0,23360425,0.01,0.005,0.0001,0.0,0.0,1.5853937864303589,-1.688821171796917e-08,1.0,0.0001382916234433651,0.00024609992397017777,0.0,-0.5,0.5,0.0,21,2,0.0,0.0,0
31,1,23370425,0.01,0.005,0.0001,1.6644781256416885e-12,0.0,1.5258352756500244,-1.301798757680217e-08,1.0,0.00022009504027664661,0.0004097812343388796,0.0,0.75,0.0,0.0,28,2,0.0,0.0,0
