config_id,seed,rule_kl_coef,entropy_coef,lr,iterations,rollout_episodes,eval_episodes,approx_kl,clip_fraction,entropy,rule_kl,rule_agreement,neural_delta_abs_mean,neural_delta_abs_max,top1_action_changed_rate,train_rank_pt,train_fourth_rate,train_deal_in_rate,eval_rank_pt,eval_mean_rank,eval_fourth_rate,eval_deal_in_rate,eval_win_rate,illegal_action_rate,fallback_rate,forced_terminal_missed
38,24060425,0.02,0.0,0.0003,3,2,2,3.4537608883944415e-10,0.0,1.4030234813690186,3.041942475690007e-09,1.0,0.00021952958195470273,0.001177923521026969,0.0,-0.25,0.5,0.0,0.75,1.5,0.0,0.0,0.5,0.0,0.0,0
39,24160425,0.02,0.001,3e-05,3,2,2,1.0339876876800172e-13,0.0,1.420320987701416,4.0745362639427185e-10,1.0,6.529418169520795e-05,0.00012192186113679782,0.0,0.75,0.0,0.0,-1.5,4.0,1.0,0.0,0.0,0.0,0.0,0
40,24260425,0.02,0.001,0.0001,3,2,2,8.13499267948714e-12,0.0,1.4619685411453247,-8.24938251042795e-09,1.0,0.0001055774773703888,0.0003884689067490399,0.0,-0.5,0.5,0.0,0.5,2.0,0.0,0.0,0.0,0.0,0.0,0
41,24360425,0.02,0.001,0.0003,3,2,2,2.632240536648567e-10,0.0,1.509622573852539,-1.8499784815162457e-08,1.0,0.0014714599819853902,0.002334707183763385,0.0,-0.25,0.5,0.0,0.75,1.5,0.0,0.0,0.0,0.0,0.0,0
42,24460425,0.02,0.005,3e-05,3,2,2,2.3748939013273906e-12,0.0,1.3561495542526245,-3.7388012685823924e-08,1.0,0.00011777086183428764,0.00017883953114505857,0.0,-0.5,0.5,0.0,-1.5,4.0,1.0,0.0,0.0,0.0,0.0,0
43,24560425,0.02,0.005,0.0001,3,2,2,6.540126513271405e-12,0.0,1.5553338527679443,-3.680427695940125e-08,1.0,9.422309085493907e-05,0.0002583241439424455,0.0,-0.25,0.5,0.0,-1.5,4.0,1.0,0.0,0.0,0.0,0.0,0
44,24660425,0.02,0.005,0.0003,3,2,2,1.1137601257926733e-10,0.0,1.5624665021896362,-4.831625322054833e-09,1.0,0.00033128316863439977,0.0008204367477446795,0.0,-1.5,1.0,0.0,-0.25,2.5,0.5,0.0,0.5,0.0,0.0,0
45,24760425,0.02,0.01,3e-05,3,2,2,2.2652619797308704e-12,0.0,1.372969627380371,-1.6372546651766129e-09,1.0,2.9306482247193344e-05,7.158114021876827e-05,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.0,0.0,0
46,24860425,0.02,0.01,0.0001,3,2,2,6.398923925454714e-12,0.0,1.4639972448349,-3.1532202626749495e-08,1.0,9.083648910745978e-05,0.0002869334421120584,0.0,0.5,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0
47,24960425,0.02,0.01,0.0003,3,2,2,5.727088803197944e-10,0.0,1.4772571325302124,3.5979121904006206e-09,1.0,0.001407149131409824,0.002461944008246064,0.0,-1.5,1.0,0.0,-0.25,2.5,0.5,0.0,0.5,0.0,0.0,0
48,25060425,0.05,0.0,3e-05,3,2,2,1.4269099140110098e-12,0.0,1.5259767770767212,-3.089053279836662e-08,1.0,2.3005193725111894e-05,8.872662874637172e-05,0.0,-0.25,0.5,0.0,-0.5,3.0,0.5,0.0,0.0,0.0,0.0,0
49,25160425,0.05,0.0,0.0001,3,2,2,7.029383325418692e-11,0.0,1.530449390411377,-1.867520138532086e-09,1.0,0.0004472770378924906,0.0006933124386705458,0.0,-0.25,0.5,0.0,0.5,2.0,0.0,0.0,0.0,0.0,0.0,0
50,25260425,0.05,0.0,0.0003,3,2,2,1.3038820023680842e-10,0.0,1.4773814678192139,-1.8507520849198045e-08,1.0,0.000723407487384975,0.0015996417496353388,0.0,-1.5,1.0,0.0,-0.25,2.5,0.5,0.0,0.0,0.0,0.0,0
51,25360425,0.05,0.001,3e-05,3,2,2,7.550997045517593e-13,0.0,1.4894636869430542,-2.448649638608913e-08,1.0,3.836834366666153e-05,9.899968426907435e-05,0.0,0.5,0.0,0.0,-0.25,2.5,0.5,0.0,0.0,0.0,0.0,0
52,25460425,0.05,0.001,0.0001,3,2,2,7.909500311653606e-12,0.0,1.3844122886657715,5.813584724734255e-09,1.0,0.00019896971934940666,0.0003879204159602523,0.0,-0.25,0.5,0.0,-1.5,4.0,1.0,0.0,0.0,0.0,0.0,0
53,25560425,0.05,0.001,0.0003,3,2,2,2.425207777656535e-11,0.0,1.4598321914672852,-1.864712828592019e-08,1.0,0.0003158755716867745,0.000686199520714581,0.0,0.75,0.0,0.0,-0.25,2.5,0.5,0.0,0.5,0.0,0.0,0
54,25660425,0.05,0.005,3e-05,3,2,2,2.47966252565901e-13,0.0,1.5172113180160522,-1.9581571919502494e-08,1.0,5.8001238357974216e-05,9.883537131827325e-05,0.0,-1.5,1.0,0.0,-0.5,3.0,0.5,0.0,0.0,0.0,0.0,0
55,25760425,0.05,0.005,0.0001,3,2,2,2.0661168088909054e-12,0.0,1.3780059814453125,-4.258444619154034e-08,1.0,0.00018525990890339017,0.00031720910919830203,0.0,0.75,0.0,0.0,-0.5,3.0,0.5,0.0,0.0,0.0,0.0,0
56,25860425,0.05,0.005,0.0003,3,2,2,3.074802079616745e-10,0.0,1.3329335451126099,2.5403467773799093e-08,1.0,0.0004222423303872347,0.0013073320733383298,0.0,0.75,0.0,0.0,-0.5,3.0,0.5,0.0,0.0,0.0,0.0,0
57,25960425,0.05,0.01,3e-05,3,2,2,4.884426196838376e-13,0.0,1.3849925994873047,-4.633136541087879e-09,1.0,2.5287077733082697e-05,6.40682628727518e-05,0.0,-0.25,0.5,0.0,1.0,1.0,0.0,0.0,0.5,0.0,0.0,0
58,26060425,0.05,0.01,0.0001,3,2,2,2.1907508793161945e-11,0.0,1.409320592880249,-2.2489610174147856e-08,1.0,0.0002535074600018561,0.00039118583663366735,0.0,-0.25,0.5,0.0,1.0,1.0,0.0,0.0,0.5,0.0,0.0,0
59,26160425,0.05,0.01,0.0003,3,2,2,4.934561786962277e-11,0.0,1.4370468854904175,-8.178883126319647e-10,1.0,0.0005105863092467189,0.000928384717553854,0.0,0.5,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.0,0.0,0
