decision,step_id,actor,selected,legal_actions
191,191,1,过,"CHI 5s consumed=[6s,7s] from P0 | 过"
192,192,2,"PON 5s consumed=[5s,5s] from P0","PON 5s consumed=[5s,5s] from P0 | 过"
193,193,2,打北,打4m | 打5m | 打6m | 打6s | 打7p | 打7s | 打8s | 打9p | 打9s | 打北
194,194,3,过,过
195,195,0,过,"PON 北 consumed=[北,北] from P2 | 过"
196,196,1,过,过
197,197,3,打7p,打5m | 打5p | 打5s | 打6p | 打6s | 打7m | 打7p | 打7s | 打西
198,198,0,过,过
199,199,1,过,过
200,200,2,过,过
201,201,0,打5p,打5p | 打7p | 打8m | 打8s | 打9m | 打9p | 打9s | 打北 | 打南 | 打西
202,202,1,过,过
203,203,2,过,过
204,204,3,过,过
205,205,1,打1m,打1m | 打5m | 打5p | 打6m | 打6s | 打7m | 打7s | 打8p | 打8s | 打9s | 打南
206,206,2,过,过
207,207,3,过,过
208,208,0,过,过
209,209,2,打4m,打4m | 打5m | 打6m | 打6s | 打7m | 打7p | 打7s | 打8s | 打9p | 打9s
210,210,3,过,过
211,211,0,过,过
212,212,1,过,过
213,213,3,打5s,打5m | 打5p | 打5p | 打5s | 打6p | 打6s | 打7m | 打7p | 打7s | 打西
214,214,0,过,过
215,215,1,过,过
216,216,2,过,过
217,217,0,打8m,打1s | 打7p | 打8m | 打8s | 打9m | 打9p | 打9s | 打北 | 打南 | 打西
218,218,1,过,"CHI 8m consumed=[6m,7m] from P0 | 过"
219,219,2,过,过
220,220,3,过,过
221,221,1,打2m,打2m | 打5m | 打5p | 打6m | 打6s | 打7m | 打7s | 打8p | 打8s | 打9s | 打南
222,222,2,过,过
223,223,3,过,过
224,224,0,过,过
225,225,2,打7p,打5m | 打6m | 打6s | 打7m | 打7p | 打7s | 打8s | 打9p | 打9s
226,226,3,过,"CHI 7p consumed=[5p,6p] from P2 | 过"
227,227,0,过,过
228,228,1,过,过
229,229,3,打5p,打3m | 打5m | 打5p | 打5p | 打6p | 打6s | 打7m | 打7p | 打7s | 打西
230,230,0,过,过
231,231,1,过,过
232,232,2,过,过
233,233,0,打7p,打1s | 打7p | 打8s | 打9m | 打9p | 打9s | 打发 | 打北 | 打南 | 打西
234,234,1,过,过
235,235,2,过,过
236,236,3,过,过
237,237,1,打5p,打4s | 打5m | 打5p | 打6m | 打6s | 打7m | 打7s | 打8p | 打8s | 打9s | 打南
238,238,2,过,过
239,239,3,过,过
240,240,0,过,过
241,241,2,打1m,打1m | 打5m | 打6m | 打6s | 打7m | 打7s | 打8s | 打9p | 打9s
242,242,3,过,过
243,243,0,过,过
244,244,1,过,过
245,245,3,打3m,打3m | 打5m | 打5p | 打6p | 打6s | 打7m | 打7p | 打7s | 打9m | 打西
246,246,0,过,过
247,247,1,过,过
248,248,2,过,过
249,249,0,打1s,打1s | 打8s | 打9m | 打9p | 打9s | 打发 | 打北 | 打南 | 打西
250,250,1,过,过
251,251,2,过,过
252,252,3,过,过
253,253,1,打4s,打4s | 打5m | 打6m | 打6p | 打6s | 打7m | 打7s | 打8p | 打8s | 打9s | 打南
254,254,2,过,过
255,255,3,过,过
256,256,0,过,过
257,257,2,打5m,打4m | 打5m | 打6m | 打6s | 打7m | 打7s | 打8s | 打9p | 打9s
258,258,3,过,过
259,259,0,过,过
260,260,1,过,过
261,261,3,打4p,打4p | 打5m | 打5p | 打6p | 打6s | 打7m | 打7p | 打7s | 打9m | 打西
262,262,0,过,过
263,263,1,过,过
264,264,2,过,过
265,265,0,打2m,打2m | 打8s | 打9m | 打9p | 打9s | 打发 | 打北 | 打南 | 打西
266,266,1,过,过
267,267,2,过,过
268,268,3,过,过
269,269,1,打6m,打5m | 打6m | 打6p | 打6s | 打7m | 打7s | 打8p | 打8s | 打9s | 打南
270,270,2,过,过
271,271,3,过,过
272,272,0,过,过
273,273,2,打2s,打2s | 打4m | 打6m | 打6s | 打7m | 打7s | 打8s | 打9p | 打9s
274,274,3,过,过
275,275,0,过,过
276,276,1,过,过
277,277,3,打发,打5m | 打5p | 打6p | 打6s | 打7m | 打7p | 打7s | 打9m | 打发 | 打西
