config_id,seed,rule_kl_coef,entropy_coef,lr,opponent_mode,iterations,rollout_episodes,eval_episodes,approx_kl,clip_fraction,entropy,rule_kl,rule_agreement,neural_delta_abs_mean,neural_delta_abs_max,top1_action_changed_rate,train_rank_pt,train_fourth_rate,train_deal_in_rate,eval_rank_pt,eval_mean_rank,eval_fourth_rate,eval_deal_in_rate,eval_win_rate,illegal_action_rate,fallback_rate,forced_terminal_missed
96,29860425,0.02,0.0,3e-05,rulebase,3,2,2,1.4995847445742339e-12,0.0,1.3742831945419312,-3.2729103871531606e-09,1.0,2.2357466150424443e-05,7.423930219374597e-05,0.0,-0.25,0.5,0.0,-0.25,2.5,0.5,0.0,0.0,0.0,0.0,0
97,29960425,0.02,0.0,0.0001,rulebase,3,2,2,1.7417900455285462e-11,0.0,1.3221513032913208,-1.7366611482216854e-09,1.0,0.00015608362446073443,0.00033266196260228753,0.0,-0.25,0.5,0.0,-0.25,2.5,0.5,0.0,0.0,0.0,0.0,0
98,30060425,0.02,0.0,0.0003,rulebase,3,2,2,1.2154673101338886e-10,0.0,1.3851568698883057,2.388882203163689e-09,1.0,0.0017189846839755774,0.0024046516045928,0.0,-0.5,0.5,0.0,-0.5,3.0,0.5,0.0,0.0,0.0,0.0,0
99,30160425,0.02,0.001,3e-05,rulebase,3,2,2,2.0675248893573667e-13,0.0,1.5103577375411987,-3.538463388963464e-08,1.0,1.9305256500956602e-05,6.0163732996443287e-05,0.0,-1.5,1.0,0.0,-1.5,4.0,1.0,0.0,0.0,0.0,0.0,0
100,30260425,0.02,0.001,0.0001,rulebase,3,2,2,9.685218772814697e-12,0.0,1.5302937030792236,-1.541300953533664e-08,1.0,0.0002838716609403491,0.0005047558806836605,0.0,-0.5,0.5,0.0,-0.25,2.5,0.5,0.0,0.0,0.0,0.0,0
101,30360425,0.02,0.001,0.0003,rulebase,3,2,2,5.9000054841718e-11,0.0,1.3411250114440918,4.8132697827441007e-08,1.0,0.0011854433687403798,0.00224474398419261,0.0,-1.5,1.0,0.0,0.75,1.5,0.0,0.0,0.0,0.0,0.0,0
102,30460425,0.02,0.005,3e-05,rulebase,3,2,2,8.049561017742235e-12,0.0,1.2909260988235474,1.7912817895648914e-08,1.0,0.0001283975871047005,0.00021938169084023684,0.0,-0.25,0.5,0.0,-0.5,3.0,0.5,0.0,0.0,0.0,0.0,0
103,30560425,0.02,0.005,0.0001,rulebase,3,2,2,3.975690002905319e-12,0.0,1.529877781867981,-2.5441115880653342e-08,1.0,0.00016835841233842075,0.0003511009272187948,0.0,-0.5,0.5,0.0,0.75,1.5,0.0,0.0,0.5,0.0,0.0,0
104,30660425,0.02,0.005,0.0003,rulebase,3,2,2,1.8581717761700922e-11,0.0,1.3532332181930542,6.174328159858078e-09,1.0,0.0004461302305571735,0.0010874092113226652,0.0,-0.5,0.5,0.0,-0.25,2.5,0.5,0.0,0.0,0.0,0.0,0
105,30760425,0.02,0.01,3e-05,rulebase,3,2,2,1.8759067920998823e-13,0.0,1.318043828010559,-9.384658605782192e-10,1.0,4.622478081728332e-05,9.45717329159379e-05,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
106,30860425,0.02,0.01,0.0001,rulebase,3,2,2,3.9663623947749915e-12,0.0,1.597672700881958,-3.748771959521946e-09,1.0,0.00046366031165234745,0.0007737806299701333,0.0,0.5,0.0,0.0,-0.5,3.0,0.5,0.0,0.0,0.0,0.0,0
107,30960425,0.02,0.01,0.0003,rulebase,3,2,2,2.4930132611067357e-11,0.0,1.429001808166504,3.230940848197861e-08,1.0,0.001491533825173974,0.0025998351629823446,0.0,-0.5,0.5,0.0,1.0,1.0,0.0,0.0,0.5,0.0,0.0,0
108,31060425,0.05,0.0,3e-05,rulebase,3,2,2,2.8145105061654074e-13,0.0,1.4063820838928223,-1.4111401824834502e-08,1.0,0.00010615277278702706,0.00020621414296329021,0.0,-0.25,0.5,0.0,-0.25,2.5,0.5,0.0,0.0,0.0,0.0,0
109,31160425,0.05,0.0,0.0001,rulebase,3,2,2,4.327903053297222e-12,0.0,1.4095512628555298,2.055999637207151e-08,1.0,0.00016756574041210115,0.00031525298254564404,0.0,0.75,0.0,0.0,-0.5,3.0,0.5,0.0,0.0,0.0,0.0,0
110,31260425,0.05,0.0,0.0003,rulebase,3,2,2,5.7747695514365205e-11,0.0,1.4349642992019653,2.895453432572026e-09,1.0,0.0007436434389092028,0.001526332343928516,0.0,0.75,0.0,0.0,0.75,1.5,0.0,0.0,0.0,0.0,0.0,0
111,31360425,0.05,0.001,3e-05,rulebase,3,2,2,3.006631944281468e-13,0.0,1.423675537109375,-1.1270761213211244e-08,1.0,9.369752660859376e-05,0.00017577888502273709,0.0,-0.5,0.5,0.0,-1.5,4.0,1.0,0.0,0.0,0.0,0.0,0
112,31460425,0.05,0.001,0.0001,rulebase,3,2,2,2.4849493990286575e-11,0.0,1.4635142087936401,-2.4424064548611568e-08,1.0,0.000474221829790622,0.0007563128601759672,0.0,-0.5,0.5,0.0,-0.25,2.5,0.5,0.0,0.0,0.0,0.0,0
113,31560425,0.05,0.001,0.0003,rulebase,3,2,2,3.209673082871234e-10,0.0,1.3478738069534302,5.095879718197693e-09,1.0,0.0002489887992851436,0.0007473387522622943,0.0,-0.25,0.5,0.0,0.5,2.0,0.0,0.0,0.0,0.0,0.0,0
114,31660425,0.05,0.005,3e-05,rulebase,3,2,2,4.416980670107762e-12,0.0,1.3959161043167114,1.3138219401298556e-09,1.0,8.844114927342162e-05,0.00019544769020285457,0.0,-0.25,0.5,0.0,-0.25,2.5,0.5,0.0,0.0,0.0,0.0,0
115,31760425,0.05,0.005,0.0001,rulebase,3,2,2,4.3454571538315e-12,0.0,1.4340299367904663,-1.3173666602028788e-08,1.0,0.0001970963057829067,0.00032869295682758093,0.0,-0.5,0.5,0.0,-1.5,4.0,1.0,0.0,0.0,0.0,0.0,0
116,31860425,0.05,0.005,0.0003,rulebase,3,2,2,2.50711201799092e-10,0.0,1.533644676208496,-2.4369459339368404e-08,1.0,0.0004556911299005151,0.0009507604409009218,0.0,0.5,0.0,0.0,-0.25,2.5,0.5,0.0,0.0,0.0,0.0,0
117,31960425,0.05,0.01,3e-05,rulebase,3,2,2,5.687425899160437e-13,0.0,1.4107489585876465,-8.000812456998574e-09,1.0,3.7685582356061786e-05,8.788100240053609e-05,0.0,1.0,0.0,0.0,-0.25,2.5,0.5,0.0,0.0,0.0,0.0,0
118,32060425,0.05,0.01,0.0001,rulebase,3,2,2,5.526986420617552e-12,0.0,1.3931779861450195,-6.3838672126337315e-09,1.0,0.00011202703171875328,0.00027573390980251133,0.0,0.75,0.0,0.0,0.5,2.0,0.0,0.0,0.0,0.0,0.0,0
119,32160425,0.05,0.01,0.0003,rulebase,3,2,2,3.004835963382746e-11,0.0,1.4746067523956299,-1.5710433842741622e-08,1.0,0.0002780664653982967,0.0005921223782934248,0.0,1.0,0.0,0.0,-1.5,4.0,1.0,0.0,0.0,0.0,0.0,0
