normalize_advantages,lr,target_update_epochs,actor_only,entropy_coef,epoch,total_loss,policy_loss,actor_grad_norm_total,policy_mlp_final_grad_norm,neural_delta_abs_mean,neural_delta_abs_max,top1_action_changed_rate
True,0.0003,16,True,0.001,6,0.0687239021062851,0.07014821469783783,0.005628466680092035,0.005622843389073035,0.0021776598878204823,0.007096529472619295,0.0
True,0.0003,16,True,0.001,7,0.06871156394481659,0.07013583928346634,0.0061763212058024465,0.0061680637986505655,0.002675681607797742,0.008737338706851006,0.0
True,0.0003,16,True,0.001,8,0.06869727373123169,0.07012150436639786,0.006769595605026373,0.006758046284408547,0.0032323470804840326,0.010555379092693329,0.0
True,0.0003,16,True,0.001,9,0.06868080794811249,0.07010498642921448,0.007411555434442266,0.007395962417407124,0.0038267222698777914,0.01252824068069458,0.0
True,0.0003,16,True,0.001,10,0.06866192072629929,0.0700860396027565,0.00810383382527522,0.008083338555212517,0.004464605823159218,0.014707935974001884,0.0
True,0.0003,16,True,0.001,11,0.06864033639431,0.07006439566612244,0.008849938197652576,0.008823581962397551,0.005122997332364321,0.017084401100873947,0.0
True,0.0003,16,True,0.001,12,0.06861579418182373,0.0700397789478302,0.009652041184391988,0.009618654577687893,0.00580834923312068,0.019651226699352264,0.0
True,0.0003,16,True,0.001,13,0.06858790665864944,0.07001180946826935,0.01051736347740495,0.01047555390659171,0.006524551659822464,0.022425293922424316,0.0
True,0.0003,16,True,0.001,14,0.06855624169111252,0.06998005509376526,0.011453937617061323,0.011402151184981483,0.00728486618027091,0.02544648014008999,0.0
True,0.0003,16,True,0.001,15,0.06852032244205475,0.06994403153657913,0.01246892414495619,0.012405353865137154,0.008080397732555866,0.02873162552714348,0.0
True,0.0003,16,True,0.001,16,0.06847969442605972,0.06990328431129456,0.01356708817079655,0.013489684876501781,0.008918991312384605,0.03231577202677727,0.0
True,0.0003,16,False,0.0,1,0.2823922038078308,0.07018711417913437,0.4537286335618303,0.004112639301991412,0.0002637015131767839,0.0009138035820797086,0.0
True,0.0003,16,False,0.0,2,0.27510857582092285,0.07018180191516876,0.3381402859071159,0.003991411283298163,0.0004760610172525048,0.0018106752540916204,0.0
True,0.0003,16,False,0.0,3,0.2698654532432556,0.07017619162797928,0.23535736832198884,0.004096349031064605,0.0007082829833962023,0.0027705691754817963,0.0
True,0.0003,16,False,0.0,4,0.26643577218055725,0.07017011195421219,0.1446050623699206,0.004250108198885062,0.0009499803418293595,0.0037881142925471067,0.0
True,0.0003,16,False,0.0,5,0.26454535126686096,0.07016341388225555,0.07907036374681002,0.0044310687076278745,0.0012171664275228977,0.0048899538815021515,0.0
True,0.0003,16,False,0.0,6,0.2637776732444763,0.07015606015920639,0.07956085261977401,0.0046335787638736815,0.0014961226843297482,0.00612717866897583,0.0
True,0.0003,16,False,0.0,7,0.2636246681213379,0.07014795392751694,0.1196429599858542,0.00485534429699967,0.0018080051522701979,0.007478279992938042,0.0
True,0.0003,16,False,0.0,8,0.2635958194732666,0.07013893872499466,0.15486048966379706,0.00509428147233043,0.002138161100447178,0.008927833288908005,0.0
